Human;Mouse
KIF4A;Kif4
RPL21;Rpl21
RPS19;Rps19
RPS27A;Rps27a
RPS12;Rps12
RPL7;Rpl7
RPS11;Rps11
POLE2;Pole2
SMAD4;Smad4
RPS6;Rps6
EXOSC4;Exosc4
RPS3;Rps3
PCNA;Pcna
HIST1H3E;Hist1h3h
PPP1R7;Ppp1r7
HIVEP2;Hivep2
POLE;Pole
CPSF2;Cpsf2
SLBP;Slbp
RPL3;Rpl3
SNAP23;Snap23
IFI30;Ifi30
RBBP4;Rbbp4
RPL31;Rpl31
PPP4R2;Ppp4r2
CD83;Cd83
RPL18A;Rpl18a
RPL10A;Rpl10a
SNRPD2;Snrpd2
RPL27;Rpl27
CASP8AP2;Casp8ap2
MED12L;Med12l
MMAA;Mmaa
WDR12;Wdr12
RPS24;Rps24
RPL27A;Rpl27a
POLR2L;Polr2l
RRM1;Rrm1
CHEK1;Chek1
RRM2;Rrm2
HIST1H3G;Hist2h3c2
PCF11;Pcf11
HIST1H3B;Hist2h3b
RPLP0;Rplp0
UBA52;Gm7866
NPAT;Npat
RPL23;Rpl23
RPL11;Rpl11
RPS29;Rps29
DDB1;Ddb1
POLR2E;Polr2e
ANAPC10;Anapc10
RPL13A;Rpl13a
CHAF1A;Chaf1a
RPL8;Rpl8
NUP205;Nup205
RAN;Ran
RPL18;Rpl18
RPL35A;Rpl35a
RPA1;Rpa1
RPS8;Rps8
HIST1H3D;Hist1h3a
POLR2D;Polr2d
HIST2H3C;H3f3c
RPL32;Rpl32l
RPL24;Rpl24
RPL38;Rpl38
RPS26;Rps26
RPS15;Rps15
RPS20;Rps20
RPL4;Rpl4
WEE1;Wee1
AP3B2;Ap3b2
RPS7;Rps7
RPS5;Rps5
RPA2;Rpa2
KPNB1;Kpnb1
RPL30;Rpl30
ITGA6;Itga6
POLR2C;Polr2c
SMARCA2;Smarca2
TRIM37;Trim37
TOPBP1;Topbp1
RPL6;Rpl6l
KRT7;Krt7
ZNF593;Zfp593
RPL7A;Rpl7a
GABPB2;Gabpb2
WBP1;Wbp1
TNFRSF11A;Tnfrsf11a
BAZ2B;Baz2b
MS4A1;Ms4a1
RBMX;Rbmx
NGFR;Ngfr
ZNF12;Zfp12
FBXL21;Fbxl21
EGLN1;Egln1
GPR151;Gpr151
HSPA14;Hspa14
NDFIP1;Ndfip1
PRC1;Prc1
COL23A1;Col23a1
FBXO36;Fbxo36
UPK1A;Upk1a
CLIC1;Clic1
CELSR2;Celsr2
FGD4;Fgd4
DNAJB6;Dnajb6
STXBP4;Stxbp4
CALML4;Calml4
GLRX2;Glrx2
NINJ2;Ninj2
CLDN11;Cldn11
ZFX;Zfx
PGF;Pgf
FAT3;Fat3
USP24;Usp24
MGAM;Mgam
MRPL40;Mrpl40
METTL5;Mettl5
EEF1A1;Eef1a1
DMD;Dmd
STK3;Stk3
RPP25;Rpp25
FOXJ3;Foxj3
GALM;Galm
PDE7A;Pde7a
LYNX1;Lynx1
IQSEC1;Iqsec1
PSMB7;Psmb7
OR2A14;Olfr444
RP9;Rp9
ZNF226;Zfp111
RPL17;Rpl17-ps8
PFKFB1;Pfkfb1
KATNAL2;Katnal2
GBP5;Gbp5
SNRPE;Snrpert
RPS17;Rps17
LMNB2;Lmnb2
RPL26;Rpl26
SNRPD3;Snrpd3
SDK2;Sdk2
HOXD1;Hoxd1
ENPP5;Enpp5
ZFP42;Zfp42
LYPLAL1;Lyplal1
ZNF639;Zfp639
WTIP;Wtip
ZNF239;Zfp239
TRIM63;Trim63
ITGB1;Itgb1
KCNJ16;Kcnj16
PDE4C;Pde4c
PLXNA1;Plxna1
HAX1;Hax1
KCTD5;Kctd5
KIF14;Kif14
USP37;Usp37
MGP;Mgp
TAF15;Taf15
COL10A1;Col10a1
LECT2;Lect2
DUSP19;Dusp19
NEU1;Neu1
PDXP;Pdxp
CDC20;Cdc20
STXBP2;Stxbp2
AQP7;Aqp7
GATA1;Gata1
FZD7;Fzd7
KCNK1;Kcnk1
NRIP3;Nrip3
YPEL5;Ypel5
ALDH4A1;Aldh4a1
TGFBR3;Tgfbr3
ZNF274;Zfp369
BMPR1A;Bmpr1a
CYB561D1;Cyb561d1
MAP4K2;Map4k2
CDYL2;Cdyl2
USP38;Usp38
LRCH2;Lrch2
EXOC7;Exoc7
CCBE1;Ccbe1
AP1G1;Ap1g1
NDUFA3;Ndufa3
MAP3K12;Map3k12
TRAP1;Trap1
MICB;Mill2
PPFIA1;Ppfia1
SF3B4;Sf3b4
CENPE;Cenpe
RBM8A;Rbm8a
EIF4ENIF1;Eif4enif1
LOXL3;Loxl3
CLDN16;Cldn16
USP36;Usp36
TBL1X;Tbl1x
CDC5L;Cdc5l
MSN;Msn
EDA2R;Eda2r
TUBB;Tubb5
CUL1;Cul1
EDNRB;Ednrb
ANAPC1;Anapc1
MKLN1;Mkln1
PINK1;Pink1
EVL;Evl
XPO1;Xpo1
RSAD1;Rsad1
HOMER2;Homer2
NCOR2;Ncor2
GYPC;Gypc
MRPL53;Mrpl53
